"rand_index","index","translation","reference_translation","accuracy"
479,142,"Ein weiteres Ziel dieser Arbeit ist es, mögliche Mechanismen zu evaluieren, die HER wirksamer machen könnten.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
480,477,"Im Projekt ist Energy Consumption Research Institute verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
481,217,"In unserem Forschungsbericht, hypothesieren wir d","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
482,302,"Der erste Teil der Arbeit fasst die Reu","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
483,198,"Trotz wachsendem I","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
484,402,"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um ""energiearm"" oder ""energie-vulnerable"" VerbraucherInnen zu definieren, da es keine europäische Definition gibt.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
485,330,"Des weiteren führen die Unterschiede zwischen den in den EU-Ländern verfügbaren Daten zu fragmentierten und oft inkompatiblen Segmentierungen der Konsumenten in den Mitgliedsstaaten.","Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.",""
486,385,"In dem Projekt ist das Energy Consumption Research Institute verantwortlich für die Ausbildung der HEAs sowie für die Planung der Pilotversuche.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
487,372,"Das Haupthindernis bei der Durchführung der Analyse besteht darin, dass ","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
488,252,"Der Einfluss von sozialer Information auf das Verhalten ist in einer Vielzahl von Umgebungen nachgewiesen worden.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
489,354,"Um dieses Hindernis zu umgehen, ist es wichtig, den Hintergrund vor dem die Versuchsaktionen eingesetzt werden werden, zu definieren (die Situation im untersuchten Mitgliedsstaat) und eine gezielte Marktsegmentierung anhand einer Analyse und Verbesserung existierender Datenbanken durchzuführen, so dass ähnliche und vergleichbare Indikatoren angwendet werden können.","Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.",""
490,488,"Der Hauptteil bei dieser Analyse ist, dass Daten, die oft fuer standard Indikatoren genommen werden (z.B. tiefes Einkommen, Hohe Kosten) in vielen Ländern nicht erhältlich sind, also müssen neue Wege, wie ein ""energie-verletzlicher Konsument"" zu verstehen ist, untersucht werden.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
491,265,"So ist vor allem in Bezug auf die Herkunft der Heterogenität der Wirkung beka","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
492,193,"Der Einfluss von sozialer Information auf das Verhalten hat sich in verschiedenen Umgebungen gzeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
493,283,"Energiearmut, mit etwa  50 bis 125 Millionen Betroffenen, ist eines der grössten sozialen, technischen und legilativen Probleme der jetzige Zeit in Europa.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
494,67,"In der vorliegenden Studie wird der Effekt von sozialem Vergleich in Bezug auf Energiesparen getestet und inwiefern dies auf dem Aspekt beruht, ob Tespersonen hohe Verbrauchswerte gutheissen.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
495,2,"Studien zeigten zum Beispiel, dass wenn den Personen aufgeführt wird, wie sie im Vergleich zu anderen darstehen, sie dann eher gewillt sind, ihren Energie- und Wasserverbrauch zu regulieren. Ausserdem neigen Sie dazu ihre ","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
496,508,"Die Europäische Kommission (EC) hat sich grosse Mühen gemacht, dieses Problem zu lösen wie gezeigt wurde. Beispielsweise mit dem kürzlichen Start des EU Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
497,254,"Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben einige offene Fragen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
498,333,"Die European Commission (EC) hat grosse Anstrengungen unternommen um dieses Problem zu lösen. Dies wird durch die Bildung der EU Energy Poverty Observatory im Januar  2018 sichtbar.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
499,468,"Das Projekt (von der EU Kommission ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
500,228,"Das HER beinhaltet verschiedene Elemente, dazu gehören statische Vergleiche mit Nachbarn","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
501,189,"Forschung zeigt, dass wenn man Leuten erzählt wie ihre Aktionen verglichen mit denen von anderen ähnlichen Leuten sind, es dazu führt das sie ihren Energie und Wasser Verbrauch, ihre Kontributionen zu ","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
502,475,"Diese Arbeit sammelt die ersten Resultate der oben genannten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
503,250,"Der Einfluss von Information zum sozialen Hintergrund auf das Verhalten von Menschen ist schon in einer Vielzahl von Settings gezeigt worden.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
504,274,"Diese Arbeit sammelt die ersten Resultate der oben aufgeführten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
505,307,"Diese Berater wurden extra für die Einsetzung der Pilotmassnahmen ausgebildet. Diese Massnahmen umfassen Beratung energieknapper Konsumenten bezüglich der Optimierung und allfälliger Reduktion ihres Energieverbrauchs. Dies geschieht hauptsächlich durch Verhaltensänderungen.","Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.",""
506,501,"M","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
507,129,"Zweitens kann, während die Umweltwerte bei allen Menschen über ihr Leben eher gleich bleiben, die umweltbezogene Eigenidentität beeinflusst werden, beispielsweise über Informationen bezüglich Energiesparen.","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
508,31,"Forschungsergebnisse zeigen, dass Menschen ihren Energie- und Wasserverbrauch ändern, andere Beträge an Wohltätigkeitsorganisationen spenden und andere Entscheidungen im Bereich Sparen treffen, wenn man ihnen sagt, wie sie im Vergleich mit ihren Mitmenschen abschneiden.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
509,6,"In dieser Studie testen wir den Effekt von sozialem Vergleich auf die Energiekonservation und ob dies auf die hohen Umweltschü","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
510,219,"Obwohl das Konservation-Verhalten von Personen mit hohen biosphärischen Werten gut dokumentiert ist in der Literatur, ist wenig bekannt über die Konsumenten antworten im Vergleich.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
511,102,"Zuerst testen wir, ob der HER die Wahrnehmung von Einzelpersonen bezüglich Normen im Bereich Energiesparen beeinflusst.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
512,57,"Während das Sparvehalten von Leuten mit hohen biospherischen Werten bereits zu genüge in der Literartur behandelt wurde, ist relativ wenig über die Reaktion dieser Individuen zu Gruppenvergleichen bekan","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
513,96,"Die Forschung zeigt beispielsweise, dass es einen Einfluss auf Menschen hat, wenn man ihnen sagt, wie andere Menschen, die ihnen ähnlich sind, handeln. So ändern sie zum Beispiel ihren Energie- oder Wasserverbrauch, ihre gemeinnützigen Tätigkeiten oder Spenden sowie ihre Sparentscheidungen.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
514,48,"Der HER Report liefert verschiedene Elemente, von einem statischen Vergleich zwischen dem Energieverbrauch von Nachbarhaushalten (descriptive norm) über Rückmeldungen zur individuellen Performance (injunctive norm) bis hin zu Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
515,496,"Dieser Artikel sammelt die ersten Resultate der oben erwähnten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
516,457,"Mit diesem Gedanken beibehalten; das Projekt hier (welches von der EU  Kommission unter dem ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
517,131,"Die Wirkung von sozialer Information auf das Verhalten wurde in unterschiedlichsten Settings nachgewiesen.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
